media,cpu,io_option,option_value,IOPS
SATAHDD,12CPU,block_restart_interval,32,297692
SATAHDD,12CPU,block_restart_interval,0,276370
SATAHDD,12CPU,block_restart_interval,16,280939
SATASSD,12CPU,block_restart_interval,32,123053
SATASSD,12CPU,block_restart_interval,0,138290
SATASSD,12CPU,block_restart_interval,16,128664
NVMeSSD,12CPU,block_restart_interval,32,407610
NVMeSSD,12CPU,block_restart_interval,0,402554
NVMeSSD,12CPU,block_restart_interval,16,407243
SATAHDD,12CPU,block_size,4096,301812
SATAHDD,12CPU,block_size,8192,289440
SATAHDD,12CPU,block_size,40960,295027
SATAHDD,12CPU,block_size,81920,298150
SATASSD,12CPU,block_size,4096,111520
SATASSD,12CPU,block_size,8192,122437
SATASSD,12CPU,block_size,40960,113220
SATASSD,12CPU,block_size,81920,118652
NVMeSSD,12CPU,block_size,4096,404364
NVMeSSD,12CPU,block_size,8192,409906
NVMeSSD,12CPU,block_size,40960,410303
NVMeSSD,12CPU,block_size,81920,407140
SATAHDD,12CPU,bytes_per_sync,1048576,312086
SATAHDD,12CPU,bytes_per_sync,1024,284808
SATAHDD,12CPU,bytes_per_sync,0,284176
SATAHDD,12CPU,bytes_per_sync,67108864,311951
SATASSD,12CPU,bytes_per_sync,1048576,178948
SATASSD,12CPU,bytes_per_sync,1024,192475
SATASSD,12CPU,bytes_per_sync,0,192730
SATASSD,12CPU,bytes_per_sync,67108864,170654
NVMeSSD,12CPU,bytes_per_sync,1048576,398768
NVMeSSD,12CPU,bytes_per_sync,1024,410457
NVMeSSD,12CPU,bytes_per_sync,0,414649
NVMeSSD,12CPU,bytes_per_sync,67108864,411923
SATAHDD,12CPU,cache_high_pri_pool_ratio,0.5,295973
SATAHDD,12CPU,cache_high_pri_pool_ratio,0.75,284773
SATAHDD,12CPU,cache_high_pri_pool_ratio,0.25,298700
SATAHDD,12CPU,cache_high_pri_pool_ratio,0.95,291161
SATAHDD,12CPU,cache_high_pri_pool_ratio,0,298058
SATASSD,12CPU,cache_high_pri_pool_ratio,0.5,122204
SATASSD,12CPU,cache_high_pri_pool_ratio,0.75,111897
SATASSD,12CPU,cache_high_pri_pool_ratio,0.25,131546
SATASSD,12CPU,cache_high_pri_pool_ratio,0.95,125874
SATASSD,12CPU,cache_high_pri_pool_ratio,0,131829
NVMeSSD,12CPU,cache_high_pri_pool_ratio,0.5,407335
NVMeSSD,12CPU,cache_high_pri_pool_ratio,0.75,411239
NVMeSSD,12CPU,cache_high_pri_pool_ratio,0.25,403997
NVMeSSD,12CPU,cache_high_pri_pool_ratio,0.95,411944
NVMeSSD,12CPU,cache_high_pri_pool_ratio,0,409201
SATAHDD,12CPU,cache_index_and_filter_blocks,True,290606
SATAHDD,12CPU,cache_index_and_filter_blocks,False,315648
SATASSD,12CPU,cache_index_and_filter_blocks,True,125514
SATASSD,12CPU,cache_index_and_filter_blocks,False,127285
NVMeSSD,12CPU,cache_index_and_filter_blocks,True,412189
NVMeSSD,12CPU,cache_index_and_filter_blocks,False,413324
SATAHDD,12CPU,cache_numshardbits,8,270314
SATAHDD,12CPU,cache_numshardbits,6,295463
