media,io_option,std_of_IOPS,mean_of_IOPS
SATAHDD,block_restart_interval,11226.207834052128,285000.3333333333
SATASSD,block_restart_interval,7706.159506092081,130002.33333333333
NVMeSSD,block_restart_interval,2819.1176515593197,405802.3333333333
SATAHDD,block_size,5238.834563462882,296107.25
SATASSD,block_size,5014.331552327455,116457.25
NVMeSSD,block_size,2761.409588718535,407928.25
SATAHDD,bytes_per_sync,15894.622012387292,298255.25
SATASSD,bytes_per_sync,10821.600817346756,183701.75
NVMeSSD,bytes_per_sync,7006.223441817044,408949.25
SATAHDD,cache_high_pri_pool_ratio,5815.735078216682,293733.0
SATASSD,cache_high_pri_pool_ratio,8203.824687302867,124670.0
NVMeSSD,cache_high_pri_pool_ratio,3209.0949191321843,408743.2
SATAHDD,cache_index_and_filter_blocks,17707.368014473523,303127.0
SATASSD,cache_index_and_filter_blocks,1252.2861094813757,126399.5
NVMeSSD,cache_index_and_filter_blocks,802.5661966467314,412756.5
SATAHDD,cache_numshardbits,13739.62446114643,279691.6666666667
SATASSD,cache_numshardbits,2434.245331377537,118872.66666666667
NVMeSSD,cache_numshardbits,4185.432514487999,413839.3333333333
SATAHDD,cache_size,3811.3055505954912,253571.0
SATASSD,cache_size,10372.549373225465,120216.5
NVMeSSD,cache_size,58.68986283848344,415008.5
SATAHDD,compaction_fadvice,nan,244870.0
SATASSD,compaction_fadvice,nan,117840.0
NVMeSSD,compaction_fadvice,nan,411468.0
SATAHDD,compaction_pri,7656.136405960036,267458.0
SATASSD,compaction_pri,11078.852979137026,122586.0
NVMeSSD,compaction_pri,1859.3151741075708,411822.25
SATAHDD,compaction_readahead_size,nan,268742.0
SATASSD,compaction_readahead_size,nan,118676.0
NVMeSSD,compaction_readahead_size,nan,409372.0
SATAHDD,compaction_style,93949.68817581746,317043.3333333333
SATASSD,compaction_style,126489.84571498219,192953.0
NVMeSSD,compaction_style,9516.020544324187,417053.0
SATAHDD,compression_level,19773.283532753652,242559.5
SATASSD,compression_level,4525.891367086341,119389.0
NVMeSSD,compression_level,3952.895563170539,409482.0
SATAHDD,compression_max_dict_bytes,14181.43264977132,228397.0
SATASSD,compression_max_dict_bytes,11538.889865725096,115719.0
NVMeSSD,compression_max_dict_bytes,4958.136511499725,412223.5
SATAHDD,compression_ratio,nan,268200.0
SATASSD,compression_ratio,nan,115332.0
NVMeSSD,compression_ratio,nan,399185.0
SATAHDD,compression_type,65519.10013118312,326205.0
SATASSD,compression_type,62950.18119513239,149650.5
NVMeSSD,compression_type,2431.740220500537,410200.5
SATAHDD,cuckoo_hash_ratio,10198.601105053574,207391.5
SATASSD,cuckoo_hash_ratio,29207.75270369153,221483.0
NVMeSSD,cuckoo_hash_ratio,150.61374439273462,410630.5
SATAHDD,delayed_write_rate,16882.881507610007,191904.0
SATASSD,delayed_write_rate,4848.6311985961565,194061.5
NVMeSSD,delayed_write_rate,6992.578959153769,411745.5
SATAHDD,disable_wal,38900.065353415535,281499.5
SATASSD,disable_wal,10149.810737151704,192764.0
NVMeSSD,disable_wal,324868.8969076603,639994.0
SATAHDD,enable_io_prio,9326.738443850561,286413.0
SATASSD,enable_io_prio,3700.99689273039,164777.0
NVMeSSD,enable_io_prio,5938.989855185812,411181.5
SATAHDD,enable_pipelined_write,21811.415772480246,295125.0
SATASSD,enable_pipelined_write,806.1017305526642,171876.0
NVMeSSD,enable_pipelined_write,944.6946596652275,418364.0
SATAHDD,enable_write_thread_adaptive_yield,14038.190926896528,291100.5
