media,cpu,io_option,option_value,IOPS
SATAHDD,12CPU,level0_file_num_compaction_trigger,8,34893
SATAHDD,12CPU,level0_file_num_compaction_trigger,4,30707
SATASSD,12CPU,level0_file_num_compaction_trigger,8,15647
SATASSD,12CPU,level0_file_num_compaction_trigger,4,13635
NVMeSSD,12CPU,level0_file_num_compaction_trigger,8,177696
NVMeSSD,12CPU,level0_file_num_compaction_trigger,4,171353
SATAHDD,12CPU,max_bytes_for_level_base,536870912,34265
SATAHDD,12CPU,max_bytes_for_level_base,268435456,31413
SATAHDD,12CPU,max_bytes_for_level_base,1073741824,36303
SATASSD,12CPU,max_bytes_for_level_base,536870912,12983
SATASSD,12CPU,max_bytes_for_level_base,268435456,12545
SATASSD,12CPU,max_bytes_for_level_base,1073741824,15274
NVMeSSD,12CPU,max_bytes_for_level_base,536870912,148337
NVMeSSD,12CPU,max_bytes_for_level_base,268435456,163839
NVMeSSD,12CPU,max_bytes_for_level_base,1073741824,181465
SATAHDD,12CPU,min_write_buffer_number_to_merge,1,19501
SATAHDD,12CPU,min_write_buffer_number_to_merge,3,33697
SATAHDD,12CPU,min_write_buffer_number_to_merge,4,32528
SATAHDD,12CPU,min_write_buffer_number_to_merge,2,32036
SATASSD,12CPU,min_write_buffer_number_to_merge,1,16376
SATASSD,12CPU,min_write_buffer_number_to_merge,3,15084
SATASSD,12CPU,min_write_buffer_number_to_merge,4,14334
SATASSD,12CPU,min_write_buffer_number_to_merge,2,12999
NVMeSSD,12CPU,min_write_buffer_number_to_merge,1,178637
NVMeSSD,12CPU,min_write_buffer_number_to_merge,3,169283
NVMeSSD,12CPU,min_write_buffer_number_to_merge,4,175362
NVMeSSD,12CPU,min_write_buffer_number_to_merge,2,159209
SATAHDD,12CPU,write_buffer_size,536870912,34511
SATAHDD,12CPU,write_buffer_size,268435456,30842
SATAHDD,12CPU,write_buffer_size,67108864,23692
SATAHDD,12CPU,write_buffer_size,134217728,31614
SATASSD,12CPU,write_buffer_size,536870912,20726
SATASSD,12CPU,write_buffer_size,268435456,21663
SATASSD,12CPU,write_buffer_size,67108864,15322
SATASSD,12CPU,write_buffer_size,134217728,16880
NVMeSSD,12CPU,write_buffer_size,536870912,238000
NVMeSSD,12CPU,write_buffer_size,268435456,225412
NVMeSSD,12CPU,write_buffer_size,67108864,180941
NVMeSSD,12CPU,write_buffer_size,134217728,233938
